"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Fignl1",0.000301729650910997,0.1903730767688,0.236,0.183,1,"EPO_responsive","Fignl1"
"Rbp1",0.000322779287826076,0.178758390916519,0.643,0.552,1,"EPO_responsive","Rbp1"
"Ywhaq",0.00036579669670198,0.171111133064322,0.797,0.751,1,"EPO_responsive","Ywhaq"
"Nhp2l1",0.000367809448771096,0.151444511250076,0.869,0.821,1,"EPO_responsive","Nhp2l1"
"Pcnp",0.000383539301784045,0.17688645062302,0.633,0.561,1,"EPO_responsive","Pcnp"
"Cox8a",0.000430877312029662,0.0883707347431377,1,0.985,1,"EPO_responsive","Cox8a"
"Cdca8",0.000452126565751338,0.227105411194443,0.361,0.284,1,"EPO_responsive","Cdca8"
"Zfand4",0.000548035662291487,0.139263746051684,0.148,0.092,1,"EPO_responsive","Zfand4"
"Fam3c",0.000574086004187855,0.193121554097079,0.384,0.308,1,"EPO_responsive","Fam3c"
"Tomm7",0.00058267707846255,0.102709801178122,0.964,0.943,1,"EPO_responsive","Tomm7"
"Gsk3b",0.000589713082551229,0.172545081325595,0.656,0.589,1,"EPO_responsive","Gsk3b"
"Nedd8",0.000630394134021257,0.111267424074261,0.925,0.864,1,"EPO_responsive","Nedd8"
"Hprt",0.000651182222390905,0.148147065925471,0.774,0.702,1,"EPO_responsive","Hprt"
"Cdca7",0.000660173112297888,0.156062602955382,0.656,0.565,1,"EPO_responsive","Cdca7"
"Uchl3",0.000675820741332972,0.185421263238306,0.577,0.508,1,"EPO_responsive","Uchl3"
"Dtymk",0.000731144846525585,0.176121831946017,0.748,0.692,1,"EPO_responsive","Dtymk"
"Foxo3",0.000747929344293569,0.16210148631923,0.426,0.341,1,"EPO_responsive","Foxo3"
"Srsf10",0.000762547089861743,0.197080637346709,0.616,0.555,1,"EPO_responsive","Srsf10"
"Ndufa5",0.000777564936105133,0.16403693103728,0.784,0.72,1,"EPO_responsive","Ndufa5"
"Entpd7",0.000778972344790927,0.129739271904591,0.164,0.1,1,"EPO_responsive","Entpd7"
"Dek",0.000843596671788899,0.159255947996573,0.849,0.814,1,"EPO_responsive","Dek"
"Smc4",0.000848841678109019,0.131426812557955,0.702,0.617,1,"EPO_responsive","Smc4"
"Park7",0.00085609732634729,0.128645025061314,0.941,0.896,1,"EPO_responsive","Park7"
"Lsm8",0.000972353318716502,0.194913185973878,0.702,0.656,1,"EPO_responsive","Lsm8"
